item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons
PLANT_A__MATERIAL_0152,PLANT_A,MATERIAL_0152,Smooth,Normal,21200.2778,0.4104,1.7262,0.7207,196,Unstable,0.36,0.0,3.3,4.5,INCREASE,NO,,"(r,Q)",MEDIUM,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=34412.6, SS_normal=56604 SS_spike=0 → SS=56604, ROP=135600, OQ=108877",104294,219113,110058,100.0,100.0,100.0,0.0,0.0,5554.2439,3511.1245,5554.2439,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0153,PLANT_A,MATERIAL_0153,Smooth,Normal,19379.1354,0.3069,1.8033,0.7305,228,Unstable,0.39,0.0,4.0,5.0,INCREASE,NO,,"(r,Q)",MEDIUM,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=33289.3, SS_normal=54756 SS_spike=0 → SS=54756, ROP=147840, OQ=100084",68830,183832,99055,100.0,100.0,100.0,0.0,0.0,5386.0042,3855.8176,5386.0042,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0165,PLANT_A,MATERIAL_0165,Smooth,Normal,224.0983,0.432,1.5339,1.6592,165,Unstable,0.3,20.0,2.0,8.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=233.3, SS_normal=384 SS_spike=0 → SS=384, ROP=952, OQ=676",1214,2017,709,100.0,100.0,100.0,0.0,0.0,9724.6847,4705.6165,9724.6847,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0238,PLANT_A,MATERIAL_0238,Smooth,Normal,1348.5009,0.4904,2.3253,0.5326,163,Unstable,0.51,1000.0,3.0,4.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2855.1, SS_normal=4696 SS_spike=0 → SS=4696, ROP=11877, OQ=10728",5706,12998,11891,100.0,100.0,100.0,0.0,0.0,1965.2717,1534.5668,1965.2717,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0239,PLANT_A,MATERIAL_0239,Smooth,Normal,1348.5009,0.4904,2.3694,0.5308,160,Unstable,0.54,1000.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2850.3, SS_normal=4688 SS_spike=0 → SS=4688, ROP=11929, OQ=10755",5753,13105,11919,100.0,100.0,100.0,0.0,0.0,1976.5667,1543.6392,1976.5667,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_B__MATERIAL_0102,PLANT_B,MATERIAL_0102,Smooth,Normal,152.2718,0.6083,1.7258,0.8896,169,Unstable,0.29,0.0,4.5,6.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=294.6, SS_normal=485 SS_spike=0 → SS=485, ROP=1205, OQ=1355",964,1934,1430,100.0,100.0,100.0,0.0,0.0,1526.3496,1034.4019,1526.3496,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0045,PLANT_A,MATERIAL_0045,Lumpy,Negative Binomial,54.0019,1.2781,3.5567,0.2342,6,Moderate,0.39,0.0,5.0,6.5,INCREASE,NO,,NB branch,MEDIUM,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",859,1349,12806,100.0,100.0,100.0,0.0,0.0,40.745,37.9578,40.745,0.0,0.0,0.0,"(r,Q)",YES,0.0,thin_delivery_data
PLANT_A__MATERIAL_0051,PLANT_A,MATERIAL_0051,Smooth,Normal,625.9415,0.1993,1.3577,0.6708,184,Unstable,0.52,0.0,3.0,3.0,MAINTAIN,NO,,Base-stock,HIGH,MEDIUM,NO,"(s,S)","(s,S) v3: s=2473, S=6128; SS=997, OQ=3655",1384,4143,4013,100.0,100.0,100.0,0.0,0.0,1932.8889,1608.0135,1950.5672,-17.6783,0.0,0.0,"(s,S)",YES,0.0,order_up_to_case
PLANT_A__MATERIAL_0064,PLANT_A,MATERIAL_0064,Smooth,Normal,423.2645,0.2222,1.339,0.6682,189,Unstable,0.51,0.0,3.0,3.0,MAINTAIN,NO,,Base-stock,MEDIUM,MEDIUM,NO,"(s,S)","(s,S) v3: s=1663, S=3341; SS=673, OQ=1678",1002,2856,1841,100.0,100.0,100.0,0.0,0.0,3322.7944,2558.9821,3354.7822,-31.9878,0.0,0.0,"(s,S)",YES,0.0,order_up_to_case
PLANT_A__MATERIAL_0062,PLANT_A,MATERIAL_0062,Smooth,Normal,626.218,0.1993,1.369,0.6672,192,Unstable,0.5,0.0,3.0,3.0,MAINTAIN,NO,,Base-stock,HIGH,MEDIUM,NO,"(s,S)","(s,S) v3: s=2486, S=4586; SS=1002, OQ=2100",1387,4155,2306,100.0,100.0,100.0,0.0,0.0,4559.256,3396.9256,4438.257,120.999,0.0,0.0,"(s,S)",YES,0.0,order_up_to_case|cost_premium_vs_universal_rq
