item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons,flag_bucket,llm_review_priority,flag_reasons,llm_question
PLANT_B__MATERIAL_0228,PLANT_B,MATERIAL_0228,Smooth,Normal,2491.3053,0.4106,1.1276,0.8086,193,Unstable,0.46,0.0,2.5,3.0,INCREASE,NO,,"(r,Q)",MEDIUM,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2532.1, SS_normal=4165 SS_spike=0 → SS=4165, ROP=9466, OQ=6475",4165.0,9466.0,6475.0,100.0,99.5507,100.0,0.4493,0.0,13105.416,4184.8494,13105.416,0.0,4.0,839.8041,"(r,Q)",YES,6.8056,stockout_reduction_vs_sap,LLM_REVIEW,MEDIUM,stockout_reduction_vs_sap,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_B__MATERIAL_0216,PLANT_B,MATERIAL_0216,Lumpy,Negative Binomial,28.7603,2.915,2.9025,0.3991,20,Moderate,0.56,0.0,4.0,4.5,INCREASE,YES,MILP_T3,NB branch,HIGH,MEDIUM,NO,negbin,"NB branch: LTD_mean=83.5, LTD_var=21510.2, r_lt=0.33, p_lt=0.0039, ROP=459, SS=289, OQ=328",289.0,459.0,328.0,66.6718,65.5222,66.7054,1.1496,-0.0336,129.0091,127.8897,130.4047,-1.3956,0.0,375.5232,negbin,YES,6.6022,service_gain_vs_sap|hard_flag,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|hard_flag|distributional_branch_case,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0060,PLANT_A,MATERIAL_0060,Smooth,Normal,3313.8259,0.2768,0.0,0.0,0,Stable,0.35,0.0,3.5,0.0,DECREASE,NO,,EOQ,HIGH,MEDIUM,NO,eoq,"EOQ v1: Q=129612 (raw=129611.9), ROP=0, SS=0",0.0,0.0,129612.0,97.7206,96.9266,96.9266,0.794,0.794,541.3896,376.6975,376.6975,164.6921,0.0,1446.0,eoq,YES,6.5395,thin_delivery_data|beats_universal_rq|cost_premium_vs_universal_rq,LLM_REVIEW,MEDIUM,beats_universal_rq|thin_delivery_data|cost_premium_vs_universal_rq,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_B__MATERIAL_0191,PLANT_B,MATERIAL_0191,Smooth,Normal,96741.4159,0.187,0.4714,1.0473,218,Unstable,0.49,64960.0,2.5,1.5,DECREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=57701.5, SS_normal=94911 SS_spike=0 → SS=43696(capped), ROP=186041, OQ=21848",43696.0,186041.0,21848.0,21.7904,20.7665,21.7904,1.0239,0.0,6845.8082,1823.4554,6845.8082,0.0,0.0,75477.0965,"(r,Q)",YES,5.8504,service_gain_vs_sap,LLM_REVIEW,MEDIUM,service_gain_vs_sap,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_A__MATERIAL_0039,PLANT_A,MATERIAL_0039,Lumpy,Negative Binomial,0.3061,2.3294,0.0,0.0,0,Stable,0.07,0.0,4.0,0.0,DECREASE,YES,MILP_T3,NB branch,HIGH,MEDIUM,NO,negbin,"NB branch fallback (no-overdispersion): SS=1, ROP=1, OQ=16",1.0,1.0,16.0,44.9074,43.9815,52.3148,0.9259,-7.4074,1006.5954,940.7939,1091.8965,-85.3011,0.0,2.0,negbin,YES,5.7036,hard_flag|thin_delivery_data,OPTIMIZE_NOW,HIGH,hard_flag|thin_delivery_data|distributional_branch_case,What operational constraint could still block implementation despite apparent service gain?
PLANT_B__MATERIAL_0096,PLANT_B,MATERIAL_0096,Smooth,Normal,152.192,0.6384,0.7382,1.0245,72,Unstable,0.46,70.0,2.5,2.5,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=155.0, SS_normal=255 SS_spike=0 → SS=255, ROP=520, OQ=860",255.0,520.0,860.0,100.0,99.1064,100.0,0.8936,0.0,6373.7745,4077.9605,6373.7745,0.0,1.0,42.6519,"(r,Q)",NO,5.3248,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_B__MATERIAL_0214,PLANT_B,MATERIAL_0214,Lumpy,Negative Binomial,27.8361,2.92,1.5285,0.5982,20,Unstable,0.45,0.0,4.0,3.5,DECREASE,YES,MILP_T3,NB branch,HIGH,HIGH,YES,negbin,"NB branch: LTD_mean=42.5, LTD_var=10746.0, r_lt=0.17, p_lt=0.0040, ROP=257, SS=187, OQ=234",187.0,257.0,234.0,47.3251,46.6588,47.2661,0.6663,0.059,91.9839,91.2263,91.9839,0.0,0.0,214.4525,negbin,YES,4.8443,hard_flag,OPTIMIZE_NOW,HIGH,beats_universal_rq|hard_flag|distributional_branch_case,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0110,PLANT_A,MATERIAL_0110,Smooth,Normal,408.0572,0.3889,1.06,0.8917,210,Unstable,0.37,0.0,3.0,3.5,INCREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=400.1, SS_normal=658 SS_spike=0 → SS=658, ROP=1499, OQ=2432",658.0,1499.0,2432.0,100.0,99.5749,100.0,0.4251,0.0,3442.031,1870.5945,3442.031,0.0,1.0,92.4594,"(r,Q)",NO,4.4513,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0074,PLANT_A,MATERIAL_0074,Smooth,Normal,2500.6931,0.1387,0.0,0.0,0,Stable,0.9493,32000.0,10.0,0.0,DECREASE,NO,,EOQ,MEDIUM,MEDIUM,NO,eoq,"EOQ v1: Q=176399 (raw=176398.9), ROP=0, SS=0",0.0,0.0,176399.0,98.4559,100.0,97.5832,-1.5441,0.8727,439.5056,455.294,315.1093,124.3963,-1.0,-2323.0,eoq,YES,3.5932,thin_delivery_data|beats_universal_rq|cost_premium_vs_universal_rq,LLM_REVIEW,MEDIUM,beats_universal_rq|thin_delivery_data|cost_premium_vs_universal_rq,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_B__MATERIAL_0222,PLANT_B,MATERIAL_0222,Smooth,Normal,119.8299,0.65,1.1413,0.8213,48,Unstable,0.44,0.0,2.0,3.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=123.7, SS_normal=204 SS_spike=0 → SS=204, ROP=461, OQ=273",204.0,461.0,273.0,100.0,99.8249,100.0,0.1751,0.0,29769.8159,11787.9651,29769.8159,0.0,1.0,8.2381,"(r,Q)",NO,3.4505,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
