item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons,flag_bucket,llm_review_priority,flag_reasons,llm_question
PLANT_A__MATERIAL_0063,PLANT_A,MATERIAL_0063,Smooth,Normal,629.6083,0.2049,2.2248,0.5767,196,Unstable,0.56,0.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=1246.1, SS_normal=2050 SS_spike=0 → SS=2050, ROP=5340, OQ=1923",2050.0,5340.0,1923.0,100.0,100.0,100.0,0.0,0.0,19813.0882,5633.3242,19813.0882,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0065,PLANT_A,MATERIAL_0065,Smooth,Normal,424.4553,0.2165,2.2176,0.5762,192,Unstable,0.56,0.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=809.0, SS_normal=1331 SS_spike=0 → SS=1331, ROP=3546, OQ=1561",1331.0,3546.0,1561.0,100.0,100.0,100.0,0.0,0.0,14470.8264,4879.144,14470.8264,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0073,PLANT_A,MATERIAL_0073,Smooth,Normal,5182.1468,0.1716,1.6857,0.6569,46,Unstable,0.45,0.0,2.5,4.0,INCREASE,NO,,"(r,Q)",MEDIUM,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=5410.8, SS_normal=8900 SS_spike=0 → SS=8900, ROP=22818, OQ=273810",8900.0,22818.0,273810.0,100.0,100.0,100.0,0.0,0.0,353.3214,322.9202,353.3214,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0108,PLANT_A,MATERIAL_0108,Smooth,Normal,62342.1739,0.3789,1.776,0.7278,246,Unstable,0.37,26840.0,3.9,5.0,INCREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=98866.3, SS_normal=162621 SS_spike=0 → SS=162621, ROP=398025, OQ=167930",162621.0,398025.0,167930.0,100.0,100.0,100.0,0.0,0.0,37171.4145,14637.8322,37171.4145,0.0,0.0,0.0,"(r,Q)",NO,2.0,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0122,PLANT_A,MATERIAL_0122,Smooth,Normal,26.2128,0.4386,1.975,0.7626,2,Unstable,0.9503,4000.0,5.0,2.5,DECREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=37.5, SS_normal=62 SS_spike=0 → SS=62, ROP=166, OQ=5789",62.0,166.0,5789.0,100.0,100.0,100.0,0.0,0.0,128.5369,225.1061,128.5369,0.0,0.0,0.0,"(r,Q)",YES,2.0,thin_delivery_data,LLM_REVIEW,MEDIUM,thin_delivery_data,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_A__MATERIAL_0152,PLANT_A,MATERIAL_0152,Smooth,Normal,21200.2778,0.4104,1.7262,0.7207,196,Unstable,0.36,0.0,3.3,4.5,INCREASE,NO,,"(r,Q)",MEDIUM,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=34412.6, SS_normal=56604 SS_spike=0 → SS=56604, ROP=135600, OQ=108877",56604.0,135600.0,108877.0,100.0,100.0,100.0,0.0,0.0,11955.1565,4972.9927,11955.1565,0.0,0.0,0.0,"(r,Q)",NO,2.0,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0153,PLANT_A,MATERIAL_0153,Smooth,Normal,19379.1354,0.3069,1.8033,0.7305,228,Unstable,0.39,0.0,4.0,5.0,INCREASE,NO,,"(r,Q)",MEDIUM,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=33289.3, SS_normal=54756 SS_spike=0 → SS=54756, ROP=147840, OQ=100084",54756.0,147840.0,100084.0,100.0,100.0,100.0,0.0,0.0,13544.5412,4997.5922,13544.5412,0.0,0.0,0.0,"(r,Q)",NO,2.0,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0165,PLANT_A,MATERIAL_0165,Smooth,Normal,224.0983,0.432,1.5339,1.6592,165,Unstable,0.3,20.0,2.0,8.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=233.3, SS_normal=384 SS_spike=0 → SS=384, ROP=952, OQ=676",384.0,952.0,676.0,100.0,100.0,100.0,0.0,0.0,19220.8542,8989.4424,19220.8542,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0238,PLANT_A,MATERIAL_0238,Smooth,Normal,1348.5009,0.4904,2.3253,0.5326,163,Unstable,0.51,1000.0,3.0,4.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2855.1, SS_normal=4696 SS_spike=0 → SS=4696, ROP=11877, OQ=10728",4696.0,11877.0,10728.0,100.0,100.0,100.0,0.0,0.0,5676.7809,2842.7571,5676.7809,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0239,PLANT_A,MATERIAL_0239,Smooth,Normal,1348.5009,0.4904,2.3694,0.5308,160,Unstable,0.54,1000.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2850.3, SS_normal=4688 SS_spike=0 → SS=4688, ROP=11929, OQ=10755",4688.0,11929.0,10755.0,100.0,100.0,100.0,0.0,0.0,5706.399,2888.6406,5706.399,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_B__MATERIAL_0102,PLANT_B,MATERIAL_0102,Smooth,Normal,152.2718,0.6083,1.7258,0.8896,169,Unstable,0.29,0.0,4.5,6.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=294.6, SS_normal=485 SS_spike=0 → SS=485, ROP=1205, OQ=1355",485.0,1205.0,1355.0,100.0,100.0,100.0,0.0,0.0,3579.314,1768.9504,3579.314,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0045,PLANT_A,MATERIAL_0045,Lumpy,Negative Binomial,54.0019,1.2781,3.5567,0.2342,6,Moderate,0.39,0.0,5.0,6.5,INCREASE,NO,,NB branch,MEDIUM,HIGH,YES,negbin,"NB branch: LTD_mean=192.1, LTD_var=18966.6, r_lt=1.96, p_lt=0.0101, ROP=513, SS=267, OQ=11424",267.0,513.0,11424.0,100.0,100.0,100.0,0.0,0.0,136.7825,132.55,134.4746,2.3079,0.0,0.0,negbin,YES,1.9995,thin_delivery_data|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,thin_delivery_data|distributional_branch_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0051,PLANT_A,MATERIAL_0051,Smooth,Normal,625.9415,0.1993,1.3577,0.6708,184,Unstable,0.52,0.0,3.0,3.0,MAINTAIN,NO,,Base-stock,HIGH,MEDIUM,NO,"(s,S)","(s,S) v3: s=2473, S=6128; SS=997, OQ=3655",997.0,2473.0,3655.0,100.0,100.0,100.0,0.0,0.0,3677.4069,1770.6247,3377.6166,299.7903,0.0,0.0,"(s,S)",YES,1.94,high_variance_order_up_to_case|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,order_up_to_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0064,PLANT_A,MATERIAL_0064,Smooth,Normal,423.2645,0.2222,1.339,0.6682,189,Unstable,0.51,0.0,3.0,3.0,MAINTAIN,NO,,Base-stock,MEDIUM,MEDIUM,NO,"(s,S)","(s,S) v3: s=1663, S=3341; SS=673, OQ=1678",673.0,1663.0,1678.0,100.0,100.0,100.0,0.0,0.0,7090.1886,3072.0062,6554.6204,535.5682,0.0,0.0,"(s,S)",YES,1.8929,high_variance_order_up_to_case|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,order_up_to_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0062,PLANT_A,MATERIAL_0062,Smooth,Normal,626.218,0.1993,1.369,0.6672,192,Unstable,0.5,0.0,3.0,3.0,MAINTAIN,NO,,Base-stock,HIGH,MEDIUM,NO,"(s,S)","(s,S) v3: s=2486, S=4586; SS=1002, OQ=2100",1002.0,2486.0,2100.0,100.0,100.0,100.0,0.0,0.0,9056.103,3375.736,8263.4144,792.6886,0.0,0.0,"(s,S)",YES,1.8415,high_variance_order_up_to_case|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,order_up_to_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0018,PLANT_A,MATERIAL_0018,Smooth,Normal,629.6406,0.2048,1.4836,0.6382,109,Unstable,0.5,0.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=663.6, SS_normal=1092 SS_spike=0 → SS=1092, ROP=2656, OQ=5431",1092.0,2656.0,5431.0,100.0,100.0,100.0,0.0,0.0,2066.2061,1289.6167,2066.2061,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0023,PLANT_A,MATERIAL_0023,Smooth,Normal,425.2099,0.2175,1.2201,0.7529,137,Unstable,0.48,576.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=389.1, SS_normal=640 SS_spike=0 → SS=640, ROP=1584, OQ=2433",640.0,1584.0,2433.0,100.0,100.0,100.0,0.0,0.0,3619.0225,2873.1115,3619.0225,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0026,PLANT_A,MATERIAL_0026,Smooth,Normal,942.1714,0.1594,1.2456,0.7524,190,Unstable,0.5,1152.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=848.1, SS_normal=1395 SS_spike=0 → SS=1395, ROP=3511, OQ=15447",1395.0,3511.0,15447.0,100.0,100.0,100.0,0.0,0.0,867.2073,768.3793,867.2073,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0030,PLANT_A,MATERIAL_0030,Lumpy,Negative Binomial,84.7907,0.9354,2.3107,0.4893,41,Moderate,0.46,0.0,4.0,4.5,INCREASE,NO,,NB branch,HIGH,HIGH,YES,negbin,"NB branch: LTD_mean=195.9, LTD_var=23724.7, r_lt=1.63, p_lt=0.0083, ROP=752, SS=302, OQ=175",302.0,752.0,175.0,100.0,100.0,100.0,0.0,0.0,71128.2082,20438.8946,75503.6807,-4375.4725,0.0,0.0,negbin,NO,1.0,,OPTIMIZE_NOW,HIGH,distributional_branch_case,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0046,PLANT_A,MATERIAL_0046,Smooth,Normal,194.7107,0.3097,1.0314,0.4885,22,Moderate,0.41,0.0,3.0,2.5,DECREASE,NO,,Base-stock,HIGH,MEDIUM,NO,"(s,S)","(s,S) v3: s=681, S=3332; SS=285, OQ=2651",285.0,681.0,2651.0,100.0,100.0,100.0,0.0,0.0,1120.9303,851.2457,1123.334,-2.4037,0.0,0.0,"(s,S)",YES,1.0,high_variance_order_up_to_case,OPTIMIZE_NOW,HIGH,order_up_to_case,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0052,PLANT_A,MATERIAL_0052,Smooth,Normal,422.2719,0.2219,1.3156,0.6665,68,Unstable,0.49,0.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=397.1, SS_normal=653 SS_spike=0 → SS=653, ROP=1631, OQ=3035",653.0,1631.0,3035.0,100.0,100.0,100.0,0.0,0.0,2727.8995,1685.9009,2727.8995,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0066,PLANT_A,MATERIAL_0066,Smooth,Normal,424.4553,0.2165,1.5299,0.6311,70,Unstable,0.45,500.0,4.0,3.5,DECREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=448.0, SS_normal=737 SS_spike=0 → SS=737, ROP=1811, OQ=4632",737.0,1811.0,4632.0,100.0,100.0,100.0,0.0,0.0,1569.982,1293.4052,1569.982,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0071,PLANT_A,MATERIAL_0071,Smooth,Normal,448.6323,0.2426,1.5899,0.5281,139,Unstable,0.6,300.0,3.5,2.5,DECREASE,NO,,"(r,Q)",MEDIUM,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=452.5, SS_normal=744 SS_spike=0 → SS=744, ROP=1906, OQ=3681",744.0,1906.0,3681.0,100.0,100.0,100.0,0.0,0.0,2235.5929,1611.2103,2235.5929,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0075,PLANT_A,MATERIAL_0075,Smooth,Normal,979.0752,0.5297,1.548,0.6519,15,Unstable,0.21,2000.0,5.0,5.0,MAINTAIN,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=1293.9, SS_normal=2128 SS_spike=0 → SS=2128, ROP=5602, OQ=48045",2128.0,5602.0,48045.0,100.0,100.0,100.0,0.0,0.0,416.9509,388.8346,416.9509,0.0,0.0,0.0,"(r,Q)",NO,1.0,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0081,PLANT_A,MATERIAL_0081,Smooth,Normal,1112.6563,0.5233,0.0,0.0,0,Stable,0.62,6000.0,2.0,0.0,DECREASE,NO,,"(r,Q)",MEDIUM,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=0.0, SS_normal=0 SS_spike=0 → SS=0, ROP=0, OQ=12669",0.0,0.0,12669.0,95.0156,100.0,95.0156,-4.9844,0.0,1465.6537,2694.8559,1465.6537,0.0,-5.0,-2957.0,"(r,Q)",YES,1.0,thin_delivery_data,LLM_REVIEW,MEDIUM,thin_delivery_data,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_A__MATERIAL_0091,PLANT_A,MATERIAL_0091,Smooth,Normal,1178.3052,0.4968,2.4334,0.4596,73,Moderate,0.58,0.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2270.6, SS_normal=3735 SS_spike=0 → SS=3735, ROP=10137, OQ=7340",3735.0,10137.0,7340.0,100.0,100.0,100.0,0.0,0.0,9246.9676,4130.0818,9246.9676,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0092,PLANT_A,MATERIAL_0092,Smooth,Normal,586.1395,0.4174,2.544,0.4271,78,Moderate,0.59,0.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=1086.1, SS_normal=1786 SS_spike=0 → SS=1786, ROP=4449, OQ=3374",1786.0,4449.0,3374.0,100.0,100.0,100.0,0.0,0.0,9314.8051,4434.9164,9314.8051,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0097,PLANT_A,MATERIAL_0097,Smooth,Normal,138.9573,0.5668,1.5464,0.5645,157,Unstable,0.56,100.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=147.7, SS_normal=243 SS_spike=0 → SS=243, ROP=597, OQ=1501",243.0,597.0,1501.0,100.0,100.0,100.0,0.0,0.0,2484.7519,1930.3274,2484.7519,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0145,PLANT_A,MATERIAL_0145,Smooth,Normal,199.215,0.3384,4.0052,0.4055,155,Moderate,0.24,0.0,4.0,10.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=462.3, SS_normal=760 SS_spike=0 → SS=760, ROP=2156, OQ=2964",760.0,2156.0,2964.0,100.0,100.0,100.0,0.0,0.0,3515.7677,2153.3731,3515.7677,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0146,PLANT_A,MATERIAL_0146,Smooth,Normal,199.2593,0.3384,3.9996,0.398,189,Moderate,0.29,0.0,4.0,9.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=461.1, SS_normal=758 SS_spike=0 → SS=758, ROP=2153, OQ=1777",758.0,2153.0,1777.0,100.0,100.0,100.0,0.0,0.0,8013.6821,4228.89,8013.6821,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0147,PLANT_A,MATERIAL_0147,Smooth,Normal,201.2889,0.322,4.0368,0.3973,187,Moderate,0.31,65.0,4.0,9.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=464.8, SS_normal=765 SS_spike=0 → SS=765, ROP=2181, OQ=1305",765.0,2181.0,1305.0,100.0,100.0,100.0,0.0,0.0,13880.2149,7053.555,13880.2149,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0148,PLANT_A,MATERIAL_0148,Smooth,Normal,198.7106,0.3387,4.1624,0.3699,143,Moderate,0.22,0.0,4.0,11.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=462.2, SS_normal=760 SS_spike=0 → SS=760, ROP=2183, OQ=3471",760.0,2183.0,3471.0,100.0,100.0,100.0,0.0,0.0,2602.68,1613.4248,2602.68,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0149,PLANT_A,MATERIAL_0149,Smooth,Normal,199.131,0.339,4.0831,0.3734,156,Moderate,0.22,50.0,4.0,10.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=461.6, SS_normal=759 SS_spike=0 → SS=759, ROP=2169, OQ=2574",759.0,2169.0,2574.0,100.0,100.0,100.0,0.0,0.0,4313.7068,2577.3196,4313.7068,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0155,PLANT_A,MATERIAL_0155,Erratic,Gamma,207.1252,0.7447,2.4742,0.4804,141,Moderate,0.58,300.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Erratic]: σ_LTD_rob=432.5, SS_normal=711 SS_spike=108 → SS=820, ROP=1954, OQ=4848",820.0,1954.0,4848.0,100.0,100.0,100.0,0.0,0.0,1235.9797,909.8489,1235.9797,0.0,0.0,0.0,"(r,Q)",NO,1.0,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0156,PLANT_A,MATERIAL_0156,Erratic,Gamma,207.1252,0.7447,2.5435,0.4909,127,Moderate,0.57,300.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Erratic]: σ_LTD_rob=435.9, SS_normal=717 SS_spike=110 → SS=827, ROP=1975, OQ=1589",827.0,1975.0,1589.0,100.0,100.0,100.0,0.0,0.0,6761.8692,3705.5463,6761.8692,0.0,0.0,0.0,"(r,Q)",NO,1.0,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0157,PLANT_A,MATERIAL_0157,Smooth,Normal,408.1068,0.3889,2.5157,0.4857,143,Moderate,0.58,380.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=806.5, SS_normal=1326 SS_spike=0 → SS=1326, ROP=3577, OQ=1648",1326.0,3577.0,1648.0,100.0,100.0,100.0,0.0,0.0,19186.1316,8605.7833,19186.1316,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0158,PLANT_A,MATERIAL_0158,Smooth,Normal,408.1068,0.3889,2.5712,0.4717,161,Moderate,0.62,380.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=807.7, SS_normal=1328 SS_spike=0 → SS=1328, ROP=3602, OQ=5369",1328.0,3602.0,5369.0,100.0,100.0,100.0,0.0,0.0,2646.0725,1648.9942,2646.0725,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0166,PLANT_A,MATERIAL_0166,Smooth,Normal,225.1433,0.4317,2.7322,0.4223,186,Moderate,0.63,100.0,2.5,3.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=465.9, SS_normal=766 SS_spike=0 → SS=766, ROP=2057, OQ=1249",766.0,2057.0,1249.0,100.0,100.0,100.0,0.0,0.0,8484.4941,3979.0532,8484.4941,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0197,PLANT_A,MATERIAL_0197,Smooth,Normal,1035.0636,0.6198,0.0,0.0,0,Stable,0.62,7500.0,2.0,0.0,DECREASE,NO,,"(r,Q)",MEDIUM,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=0.0, SS_normal=0 SS_spike=0 → SS=0, ROP=0, OQ=9894",0.0,0.0,9894.0,93.3297,100.0,93.3297,-6.6703,0.0,1389.7019,3755.0126,1389.7019,0.0,-5.0,-3450.0,"(r,Q)",YES,1.0,thin_delivery_data,LLM_REVIEW,MEDIUM,thin_delivery_data,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_A__MATERIAL_0203,PLANT_A,MATERIAL_0203,Smooth,Normal,1035.5121,0.6195,0.0,0.0,0,Stable,0.66,7500.0,2.0,0.0,DECREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=0.0, SS_normal=0 SS_spike=0 → SS=0, ROP=0, OQ=2596",0.0,0.0,2596.0,80.1709,100.0,80.1709,-19.8291,0.0,4970.9005,37339.9686,4970.9005,0.0,-16.0,-10256.0,"(r,Q)",YES,1.0,thin_delivery_data,LLM_REVIEW,MEDIUM,thin_delivery_data,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_A__MATERIAL_0221,PLANT_A,MATERIAL_0221,Smooth,Normal,347.0325,0.4428,2.5664,0.4637,118,Moderate,0.63,300.0,3.0,3.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=674.8, SS_normal=1110 SS_spike=0 → SS=1110, ROP=3042, OQ=1782",1110.0,3042.0,1782.0,100.0,100.0,100.0,0.0,0.0,11391.6752,5357.1047,11391.6752,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0236,PLANT_A,MATERIAL_0236,Smooth,Normal,1348.5009,0.4904,2.6704,0.4657,169,Moderate,0.56,1000.0,3.0,4.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2771.1, SS_normal=4558 SS_spike=0 → SS=4558, ROP=12205, OQ=8167",4558.0,12205.0,8167.0,100.0,100.0,100.0,0.0,0.0,9597.6183,4794.0001,9597.6183,0.0,0.0,0.0,"(r,Q)",NO,1.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
